Thorlabs Beam
Version: 9.1.5787.560
Date: 10/15/2024
Time: 4:01:09 PM

Device: BC106N-VIS
S/N: M00456188

Resolution: Fast ( 8 bit)
Sensor Resolution [pix]: Width: 1360, Height: 1024
Pixel Size [µm]: Horizontal: 6.45, Vertical: 6.45
Region of Interest [pix]: Horizontal: 542, Vertical: 402, Width 276, Height 180
Wavelength [nm]: 520
Attenuation [dB]: 20
Exposure Time [ms]: 1.135
Gain: 1
Base Level [digits]: 45.7103

4;4;3;3;4;4;4;4;3;3;4;3;3;4;3;4;3;3;3;4;4;3;3;4;3;3;4;4;4;3;4;4;3;3;4;3;4;4;4;3;3;3;4;4;4;4;4;5;5;5;6;7;7;5;5;6;7;7;7;9;7;5;4;4;4;5;4;4;5;6;7;6;5;5;5;5;4;3;4;4;4;5;4;5;4;4;4;4;4;4;5;4;5;5;5;5;5;5;5;5;7;8;11;12;15;16;19;18;17;17;17;21;26;29;29;26;25;23;22;22;21;19;18;16;17;17;19;20;20;21;20;21;21;21;20;21;22;23;25;23;25;23;21;21;22;27;27;28;26;26;25;24;25;26;25;22;21;17;19;22;23;24;26;23;24;25;28;28;22;20;19;20;24;27;26;24;23;20;16;14;10;8;7;7;6;7;7;7;6;6;6;6;6;5;5;4;3;3;3;3;3;4;4;4;4;4;4;4;4;6;7;7;6;7;6;5;4;4;5;5;6;6;7;6;6;3;3;4;5;4;5;7;7;6;4;3;3;3;3;3;3;3;4;4;3;4;4;4;4;3;4;4;4;3;3;4;4;4;4;5;5;3;3;3;4;4;3;4;3;3;3;3;3;3;3;3
4;4;3;3;4;4;3;4;3;4;3;3;3;3;3;3;3;3;3;4;3;3;3;4;3;3;4;4;3;3;4;3;3;3;3;3;4;4;4;3;3;3;4;4;4;4;4;5;5;5;7;7;6;5;7;8;6;7;8;9;7;4;4;5;5;4;4;4;6;7;7;6;5;5;5;4;4;4;5;5;6;5;5;4;4;4;4;4;4;5;5;6;5;5;5;5;5;5;7;8;10;13;13;15;17;16;18;17;17;19;21;23;28;30;30;25;21;18;18;16;17;17;16;16;16;20;22;23;26;27;26;23;24;23;23;24;22;23;27;30;28;27;24;24;23;27;25;28;31;31;28;27;26;23;21;22;19;16;15;14;16;21;23;22;20;23;22;27;25;21;20;18;20;23;26;25;25;24;22;19;16;12;10;9;8;8;8;8;9;8;7;6;7;5;5;4;4;3;3;3;3;3;4;4;4;4;5;5;5;4;6;7;8;7;7;5;4;5;5;4;6;6;7;7;8;5;4;4;5;4;4;6;7;6;5;3;3;4;3;3;3;3;3;4;3;3;4;4;4;3;3;4;3;3;3;3;4;4;3;5;5;4;3;3;3;3;4;4;3;3;3;3;3;3;3;3
4;4;3;4;4;4;4;4;3;4;3;3;4;3;4;4;3;3;3;4;4;3;3;3;4;4;4;4;3;4;4;3;3;3;3;4;4;4;3;4;3;4;4;4;4;4;4;4;5;7;7;6;5;6;7;7;7;7;9;7;5;3;4;5;5;4;5;6;7;8;6;5;5;5;4;4;4;5;6;6;6;5;5;4;4;4;4;4;5;6;6;7;6;5;5;6;6;6;8;11;13;16;16;17;16;16;16;16;17;21;22;25;24;24;21;16;12;12;14;16;18;20;20;19;21;22;23;25;23;23;21;20;20;17;17;15;16;17;19;19;17;16;15;16;15;15;18;20;26;25;26;27;23;20;20;22;20;20;16;15;15;16;19;19;18;17;19;21;23;23;21;18;17;18;19;21;21;22;24;26;21;16;13;10;9;8;8;8;9;9;8;6;6;6;6;6;4;3;3;3;4;4;4;4;4;4;4;5;5;4;4;7;9;8;7;5;4;5;6;5;5;5;6;8;8;6;5;4;5;5;4;5;7;7;5;4;4;4;3;3;4;3;4;4;4;3;4;4;4;3;4;4;3;3;3;3;3;4;3;4;5;4;3;3;4;3;3;4;3;3;3;3;3;3;3;3
4;3;4;4;3;4;4;3;4;4;4;3;4;4;3;3;3;3;3;3;3;3;3;3;4;4;4;3;3;4;3;3;3;4;4;4;4;3;3;4;4;4;4;4;4;4;4;5;6;7;6;5;6;9;8;7;7;9;8;5;4;4;5;5;4;5;6;7;7;7;5;4;4;4;4;4;4;5;6;6;5;4;4;4;4;4;4;5;5;6;6;6;6;6;6;6;8;9;11;14;16;18;17;16;16;15;17;19;21;23;22;20;17;13;10;10;11;14;18;21;23;22;19;19;18;20;19;19;15;15;14;12;12;10;10;9;8;10;11;11;11;9;9;7;8;8;10;11;14;16;17;19;18;17;17;18;18;21;23;21;19;17;18;19;17;16;16;17;18;22;22;21;18;15;15;18;19;21;25;28;26;21;18;14;10;8;8;8;9;9;9;8;7;6;6;6;5;4;3;3;3;4;4;4;4;4;4;5;6;5;4;5;8;9;9;6;4;4;6;6;5;5;5;6;7;7;6;5;5;5;4;4;7;8;7;4;4;4;4;3;3;3;3;4;4;3;4;4;4;4;3;3;3;3;3;3;3;3;3;3;5;5;3;3;3;4;3;4;4;3;3;3;3;4;4;3
4;3;4;4;4;4;4;3;4;4;4;3;3;4;3;3;3;3;3;3;3;3;3;4;3;4;4;3;3;3;3;4;4;4;4;4;4;3;3;4;4;4;4;4;5;4;4;5;7;6;5;4;7;9;9;7;8;8;6;4;4;5;5;4;4;6;8;7;7;6;5;5;4;4;4;4;5;6;6;5;4;4;4;4;4;4;5;5;7;6;5;5;5;6;7;7;8;11;14;17;18;16;17;14;15;17;20;21;20;18;15;12;11;11;11;13;17;19;22;24;22;19;18;14;13;11;12;12;11;11;10;8;8;8;6;6;6;6;6;6;6;6;6;6;6;6;6;7;7;7;8;10;9;10;11;12;14;17;20;20;21;20;22;19;17;16;14;16;15;19;21;22;21;19;19;18;18;20;22;26;26;28;22;19;13;9;8;8;11;10;8;8;7;7;5;6;5;5;4;3;3;3;4;4;4;3;4;4;5;5;4;4;6;9;9;8;5;4;5;7;6;5;5;5;6;6;6;6;5;4;5;4;6;8;7;5;4;4;4;3;4;3;4;4;3;3;4;4;5;4;3;3;3;3;3;3;3;3;3;3;4;5;4;3;4;4;3;3;4;4;4;3;3;4;3;4
4;3;4;4;3;4;3;3;4;4;3;4;4;4;3;3;3;4;3;3;3;3;3;3;4;4;3;3;3;3;4;4;4;4;4;3;3;3;3;4;4;4;4;5;5;4;4;6;7;5;4;5;9;10;8;9;8;6;4;4;5;5;4;4;5;8;7;6;6;5;5;5;4;3;4;5;5;5;5;4;4;4;4;4;4;5;5;6;6;5;5;5;5;6;6;8;9;12;14;15;17;15;15;16;17;19;20;18;15;13;11;13;13;16;18;19;21;21;22;19;17;13;11;9;7;7;7;8;8;7;6;6;7;6;5;5;4;5;4;4;4;5;5;6;6;7;7;6;7;6;6;6;5;6;7;8;9;11;13;16;17;19;22;22;20;18;17;15;15;16;19;20;21;21;23;22;20;19;19;23;27;27;29;24;18;13;10;9;9;11;10;9;8;6;6;5;5;4;4;4;3;3;4;4;4;4;3;4;4;5;4;4;4;7;9;8;6;4;4;6;6;5;5;5;5;6;7;6;5;4;4;4;5;6;7;5;4;4;3;4;3;3;4;4;4;3;3;4;5;5;4;3;3;3;3;4;3;3;3;3;4;5;4;3;3;4;3;3;3;3;3;3;3;3;4;3
3;3;4;4;4;3;3;4;4;3;4;3;4;3;3;3;4;3;3;3;3;3;3;4;4;4;3;3;3;3;3;4;4;4;3;3;4;4;4;4;4;4;4;5;5;4;5;6;5;4;5;8;10;9;9;9;7;5;4;4;5;4;4;4;6;8;7;5;5;5;4;3;4;4;5;5;5;4;4;3;4;4;4;4;4;5;6;6;5;4;4;5;6;6;7;9;11;13;13;14;16;15;16;17;17;18;14;13;11;11;13;16;20;23;22;20;20;19;15;12;12;10;8;8;7;8;8;8;9;7;6;5;5;4;4;4;5;4;4;5;4;5;5;6;7;7;8;7;7;7;7;7;8;8;8;8;8;7;9;10;11;13;16;18;20;18;18;17;17;16;16;19;20;22;22;23;21;19;21;23;26;29;31;30;25;19;14;11;10;10;11;10;8;7;6;5;6;5;5;5;4;4;4;4;4;4;3;3;3;4;5;4;4;5;8;9;8;5;4;4;6;6;5;5;5;7;8;7;6;5;4;5;5;6;7;6;4;3;3;4;3;4;3;4;4;3;3;4;4;4;4;3;3;3;3;4;4;3;3;3;4;4;5;4;3;3;3;3;3;4;3;3;3;3;4;4
3;3;4;4;4;3;3;4;4;3;4;3;4;3;3;4;4;3;3;3;3;3;3;4;3;4;3;4;3;4;4;4;4;4;3;3;3;3;4;4;4;4;4;5;5;6;7;6;4;4;7;9;10;8;10;9;6;4;4;5;5;4;4;4;7;7;6;5;5;5;4;3;4;5;6;6;5;4;4;4;4;4;4;4;5;5;6;5;5;4;5;5;6;8;10;13;12;14;14;17;18;19;20;19;16;14;12;10;11;14;19;23;23;26;22;19;15;13;11;10;10;9;8;9;9;9;8;8;8;7;6;4;4;4;4;4;4;5;5;5;6;6;6;6;7;8;8;8;7;7;7;8;10;10;10;11;10;9;7;7;8;8;9;11;14;16;17;19;17;16;17;18;21;18;21;19;20;19;19;22;23;25;28;29;29;25;19;15;10;10;10;10;9;7;6;6;6;6;6;6;5;4;4;3;4;4;3;3;3;4;4;5;4;4;7;10;10;8;4;3;6;5;5;6;6;7;7;7;6;4;4;5;5;5;6;6;5;4;4;3;3;3;3;4;4;3;3;3;4;4;3;3;3;3;3;4;4;3;3;3;3;3;5;4;3;3;3;3;3;3;4;3;3;3;3;3
4;3;3;4;4;3;3;4;4;3;3;4;4;3;4;4;3;3;3;4;3;3;4;4;4;3;3;3;3;4;4;4;4;3;3;3;3;4;4;4;4;4;5;5;5;7;7;5;4;5;9;11;7;8;10;7;5;4;5;5;4;4;4;5;6;6;6;6;5;4;3;4;4;6;6;4;4;3;4;5;5;5;5;5;6;6;6;4;5;5;6;6;8;11;13;13;15;17;19;19;20;21;19;18;13;11;9;11;15;20;23;26;22;19;17;14;12;11;10;11;12;10;9;9;8;8;7;6;6;5;4;4;4;5;5;6;6;6;6;7;6;7;7;7;8;8;7;7;6;6;6;7;9;9;12;12;12;12;10;8;7;6;7;7;8;9;11;13;14;13;15;15;16;17;19;18;18;18;21;23;23;24;26;27;26;29;25;20;14;11;11;10;10;8;7;6;6;6;7;6;6;4;4;4;3;3;3;3;3;4;4;5;5;4;6;9;11;10;6;4;4;4;5;6;6;6;7;7;7;5;4;4;4;4;5;5;5;5;4;4;3;3;3;3;4;3;3;3;4;4;3;3;3;3;3;3;3;3;3;3;3;3;4;4;4;3;3;3;3;3;4;3;3;3;3;4
4;3;4;4;4;3;4;4;4;4;3;3;3;3;4;4;4;3;3;3;3;4;4;4;3;3;4;4;3;4;4;4;3;3;3;3;3;4;4;3;4;4;5;6;7;7;6;4;4;8;13;9;7;8;7;5;4;4;5;4;4;4;5;5;6;6;6;6;4;4;4;5;6;5;5;4;4;4;5;6;5;5;6;6;7;6;5;5;5;6;6;8;10;12;14;16;17;19;18;21;22;19;14;12;10;11;12;16;18;22;22;21;19;16;14;12;12;12;12;12;12;10;9;8;8;6;6;6;5;5;5;7;8;8;9;10;9;9;9;9;9;10;10;9;9;9;8;7;6;7;7;8;9;9;9;9;9;11;11;11;11;10;7;6;5;5;6;7;8;11;12;14;15;15;19;19;17;17;17;20;21;22;23;26;27;29;28;22;17;14;12;10;10;8;6;6;6;6;6;7;7;6;4;4;4;4;3;4;4;4;4;4;4;4;5;8;11;11;8;4;4;4;4;5;6;6;5;6;7;7;5;3;4;4;4;5;5;5;4;3;3;4;3;3;3;3;3;3;3;3;4;3;3;3;3;3;4;4;3;3;4;3;4;4;4;3;3;3;3;3;4;3;3;3;3;3
